stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
CASTELLAMMARE DI STABIA,MET,Mon,0.21428571428571427,0.0,5,14,1,0,0,40.701398,14.483737
CAVALLEGGERI AOSTA,MET,Mon,-0.27441285537700866,-1.0,129,1618,77,29,5,40.819292,14.185679
FALCIANO MONDRAGONE CAR.,MET,Mon,1.0,1.0,1,1,0,0,0,41.123525,13.971792
NAPOLI GIANTURCO,MET,Mon,-0.6516690856313497,-2.0,228,2756,260,148,50,40.853959,14.288213
NAPOLI S.GIOV.BARRA,MET,Mon,0.23705552089831566,0.0,136,1603,105,50,22,40.831269,14.307811
PAGANI,MET,Mon,3.786908077994429,3.0,59,718,281,111,34,40.74654,14.616996
S.MARCELLINO FRIGNANO,MET,Mon,2.0,2.0,1,1,0,0,0,40.992103,14.171976
SCAFATI,MET,Mon,2.0652777777777778,1.0,59,720,147,70,30,40.746028,14.523253
ANGRI,MET,Mon,3.5902777777777777,3.0,59,720,279,120,36,40.746404,14.575366
CASALNUOVO,MET,Mon,4.224924012158055,3.0,26,329,146,80,22,40.915559,14.35296
LATINA,MET,Mon,4.0,4.0,1,1,1,0,0,41.538372,12.945888
MONTE S.BIAGIO,MET,Mon,5.0,5.0,1,1,1,0,0,41.345967,13.347037
NAPOLI CAMPI FLEGREI,MET,Mon,-0.9509090909090909,-1.0,178,2200,118,60,29,40.822462,14.194649
NAPOLI MONTESANTO,MET,Mon,21.666666666666668,16.0,6,6,5,5,4,40.847807,14.244022
NAPOLI PIAZZA GARIBALDI,MET,Mon,17.714285714285715,13.0,7,7,6,6,5,40.852326,14.275159
NOCERA INFERIORE,MET,Mon,3.364394993045897,3.0,59,719,209,85,30,40.745318,14.635346
PIAZZA AMEDEO,MET,Mon,-0.66784140969163,-2.0,224,1135,83,55,27,40.838506,14.232974
PIAZZA CAVOUR,MET,Mon,-0.08411214953271028,-2.0,116,642,70,45,18,40.855248,14.255175
PORTICI- ERCOLANO,MET,Mon,1.6827411167512691,1.0,71,788,125,59,27,40.809907,14.335809
S.MARIA LA BRUNA,MET,Mon,2.010152284263959,1.0,71,788,142,70,27,40.755435,14.407647
TORRE ANNUNZIATA CENTRALE,MET,Mon,2.4743758212877793,2.0,67,761,176,84,28,40.747131,14.463744
TRACCIA,MET,Mon,5.282051282051282,3.0,3,39,18,5,2,,
VILLA LITERNO,MET,Mon,2.0,2.0,1,1,0,0,0,41.004956,14.06753
AVERSA,MET,Mon,1.0,1.0,1,1,0,0,0,40.973323,14.218578
CANCELLO,MET,Mon,5.284403669724771,4.0,26,327,201,106,27,40.993063,14.418877
CASERTA,MET,Mon,3.616883116883117,3.0,12,154,59,32,10,41.068655,14.328457
CAVA DEI TIRRENI,MET,Mon,2.774193548387097,2.0,59,713,185,102,30,40.703662,14.708461
DUOMO VIA VERNIERI,MET,Mon,3.5,1.0,2,2,1,1,0,,
FONDI - SPERLONGA,MET,Mon,5.0,5.0,1,1,1,0,0,41.337663,13.424893
FORMIA-GAETA,MET,Mon,1.0,1.0,1,1,0,0,0,41.258773,13.605996
MINTURNO,MET,Mon,0.0,0.0,1,1,0,0,0,41.257621,13.720664
POMPEI,MET,Mon,2.481171548117155,2.0,59,717,178,82,31,40.745918,14.501109
POZZUOLI SOLFATARA,MET,Mon,-0.2928921568627451,-1.0,65,816,52,21,4,40.827586,14.126163
PRIVERNO FOSSANOVA,MET,Mon,4.0,4.0,1,1,1,0,0,41.421853,13.186406
SESSA AURUNCA R.,MET,Mon,0.0,0.0,1,1,0,0,0,41.1955,13.8761
TORRE DEL GRECO,MET,Mon,1.7868020304568528,1.0,71,788,128,74,26,40.787631,14.363159
ACERRA,MET,Mon,4.13677811550152,3.0,26,329,140,73,20,40.939066,14.372243
ARECHI,MET,Mon,24.0,24.0,1,1,1,1,1,,
BAGNOLI AGNANO TERME,MET,Mon,-0.38263229308005425,-1.0,129,737,33,14,3,40.819444,14.166694
MADDALONI INFERIORE,MET,Mon,19.4,18.0,4,5,5,5,4,41.035954,14.380504
MERCATELLO,MET,Mon,26.0,26.0,2,2,2,2,2,40.606491,15.38979
NAPOLI CENTRALE,MET,Mon,-10.0,-10.0,1,1,0,0,0,40.852933,14.272908
NAPOLI MERGELLINA,MET,Mon,23.5,19.0,3,4,4,4,4,40.831531,14.218662
NAPOLI PIAZZA LEOPARDI,MET,Mon,0.558215451577802,0.0,228,2757,248,128,46,40.82397,14.199117
NOCERA SUPERIORE,MET,Mon,3.2633053221288515,2.0,59,714,190,89,32,40.742597,14.672398
SALERNO,MET,Mon,-0.4260869565217391,-2.0,30,345,50,34,22,40.675137,14.772822
SEZZE ROMANO,MET,Mon,4.0,4.0,1,1,1,0,0,41.495542,13.038452
VIETRI SUL MARE,MET,Mon,4.0,2.0,2,2,1,1,0,40.674996,14.726829
