stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
AGROPOLI CASTELLABATE,,Sun,7.608695652173913,3.0,2,23,11,8,4,40.351521,15.002053
BARDONECCHIA,,Sun,6.818181818181818,-2.0,1,11,5,4,1,45.076447,6.709959
BATTIPAGLIA,,Sun,0.9848484848484849,-1.0,6,66,11,7,3,40.605789,14.98324
CAMPIGLIA MARITTIMA,,Sun,2.1653543307086616,0.0,11,127,29,21,13,43.017118,10.586558
CASERTA,,Sun,3.2980132450331126,2.0,14,151,63,41,21,41.068655,14.328457
CERVIGNANO A.G.,,Sun,0.22448979591836735,0.0,5,49,5,2,0,45.823948,13.342866
CHIUSI C.T.,,Sun,5.5,-4.0,2,2,1,1,1,43.002466,11.957893
DESENZANO,,Sun,5.312849162011173,2.0,16,179,63,33,15,45.462677,10.536322
FALCONARA MARITTIMA,,Sun,4.791666666666667,-2.0,2,24,4,4,3,43.630577,13.397378
FIRENZE CAMPO MARTE,,Sun,2.3333333333333335,0.0,5,39,8,7,5,43.776856,11.27702
FIRENZE S.M.N.,,Sun,2.9375,1.0,92,992,298,210,107,43.776893,11.247373
FIUMICINO AEROPORTO,,Sun,-2.0,-3.0,4,48,5,1,1,41.793673,12.251728
FRASSO T. DUGENTA,,Sun,18.0,18.0,1,1,1,1,1,41.137244,14.459459
GIOIA DEL COLLE,,Sun,6.92,0.0,2,25,5,5,4,40.796983,16.916569
GIULIANOVA,,Sun,7.590909090909091,2.0,2,22,11,10,7,42.751673,13.965743
MARATEA,,Sun,7.434782608695652,5.0,2,23,15,8,4,39.995028,15.70975
METAPONTO,,Sun,-2.888888888888889,-3.0,1,9,0,0,0,40.368496,16.815176
ORTE,,Sun,0.9130434782608695,-2.0,2,23,3,3,2,42.43728,12.408986
PAVIA,,Sun,4.745098039215686,2.0,5,51,21,12,8,45.188843,9.144674
PESCHIERA DEL GARDA,,Sun,3.4504504504504503,2.0,20,222,68,39,15,45.438502,10.702509
POTENZA CENTRALE,,Sun,-2.111111111111111,-3.0,1,9,1,0,0,40.629469,15.806808
REGGIO CALABRIA CENTRALE,,Sun,0.7415730337078652,-4.0,8,89,17,14,10,38.103884,15.635844
RICCIONE,,Sun,8.703703703703704,5.0,7,54,32,27,17,43.999218,12.658549
RIMINI,,Sun,4.042979942693409,1.0,29,349,128,112,69,44.064176,12.574093
RIMINIFIERA,,Sun,8.478260869565217,5.0,12,23,16,11,7,,
ROVATO,,Sun,-10.0,-10.0,1,1,0,0,0,45.55193,10.000924
S. DONA` DI PIAVE,,Sun,-1.1923076923076923,-2.0,2,26,2,2,1,45.63983,12.559791
S.BENEDETTO DEL TRONTO,,Sun,8.636363636363637,5.0,12,143,79,70,39,42.954386,13.882297
SCALEA S.DOMENICA TALAO,,Sun,8.395833333333334,5.0,6,48,33,20,7,39.8083,15.80139
