stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
GENOVA P.PRINCIPE,EN,Sun,-1.0,-2.0,6,12,4,3,2,44.417784,8.9207
LA SPEZIA CENTRALE,EN,Sun,-3.3636363636363638,-7.0,5,11,1,1,1,44.11141,9.813906
LEVANTO,EN,Sun,0.3333333333333333,-2.0,6,12,1,1,1,44.174167,9.616018
RECCO,EN,Sun,-3.0,-3.0,1,1,0,0,0,44.361215,9.146788
ROMA TERMINI,EN,Sun,12.333333333333334,-1.0,2,3,1,1,1,41.900636,12.502026
VERONA PORTA NUOVA,EN,Sun,14.88888888888889,-1.0,3,9,4,4,4,45.428603,10.982377
VICENZA,EN,Sun,23.0,13.0,2,7,4,4,4,45.541102,11.540762
BOLOGNA C.LE,EN,Sun,19.333333333333332,21.0,2,3,2,2,2,44.50626,11.342267
BRESCIA,EN,Sun,21.555555555555557,16.0,3,9,6,6,6,45.532315,10.212828
PESCHIERA DEL GARDA,EN,Sun,21.444444444444443,17.0,3,9,6,6,6,45.438502,10.702509
SESTRI LEVANTE,EN,Sun,15.0,15.0,1,1,1,1,1,44.27626,9.397651
PADOVA,EN,Sun,20.0,15.0,7,13,10,9,7,45.417846,11.880794
PAVIA,EN,Sun,10.583333333333334,5.0,6,12,9,6,3,45.188843,9.144674
DESENZANO,EN,Sun,22.11111111111111,17.0,3,9,6,6,6,45.462677,10.536322
FIRENZE S.M.N.,EN,Sun,15.0,15.0,2,3,2,2,2,43.776893,11.247373
MILANO ROGOREDO,EN,Sun,11.583333333333334,6.0,6,12,8,7,5,45.433866,9.2391
RAPALLO,EN,Sun,32.0,32.0,1,1,1,1,1,44.351398,9.231282
TARVISIO BOSCOVERDE,EN,Sun,11.0,3.0,2,2,1,1,1,46.505956,13.608012
