stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
AGROPOLI CASTELLABATE,IC,Sun,5.827956989247312,1.0,8,93,33,27,15,40.351521,15.002053
ALASSIO,IC,Sun,5.391304347826087,5.0,25,115,76,52,13,44.007889,8.17112
ALESSANDRIA,IC,Sun,0.4659090909090909,0.0,10,88,24,9,3,44.909091,8.606498
ASCEA,IC,Sun,10.365384615384615,5.0,5,52,28,24,12,40.140955,15.172626
AUGUSTA,IC,Sun,1.537313432835821,0.0,11,67,14,11,7,37.24334,15.218628
AVERSA,IC,Sun,3.3289036544850497,-1.0,29,301,74,56,31,40.973323,14.218578
BARLETTA,IC,Sun,5.136094674556213,2.0,20,169,62,46,26,41.315227,16.278867
CALOPEZZATI,IC,Sun,8.0,8.0,1,1,1,1,0,39.579022,16.819361
CARRARA AVENZA,IC,Sun,12.375,3.0,5,8,4,4,2,44.051239,10.062927
CASARSA,IC,Sun,79.0,5.0,2,2,2,1,1,45.953002,12.8406
CASSINO,IC,Sun,6.923076923076923,7.0,2,26,14,14,9,41.484306,13.832125
CIRO',IC,Sun,6.882352941176471,5.0,4,51,33,25,15,39.368701,17.116997
CODROIPO,IC,Sun,78.0,5.0,2,2,2,1,1,45.9657,12.976543
CROPANI,IC,Sun,5.627450980392157,6.0,4,51,35,28,6,38.921968,16.813562
FABRIANO,IC,Sun,0.4264705882352941,-1.0,6,68,14,9,4,43.345429,12.905336
FAENZA,IC,Sun,2.66,1.0,16,150,34,24,10,44.293594,11.883268
FANO,IC,Sun,2.324324324324324,0.0,14,148,31,21,11,43.842977,13.02478
FERRANDINA,IC,Sun,2.4186046511627906,0.0,4,43,13,9,4,40.516566,16.475276
FIRENZE RIFREDI,IC,Sun,-0.967741935483871,-3.0,9,62,15,10,3,43.800873,11.235729
FIRENZE S.M.N.,IC,Sun,4.722222222222222,-1.0,3,18,7,5,3,43.776893,11.247373
FOLLONICA,IC,Sun,4.723404255319149,2.0,9,94,31,24,10,42.926687,10.755775
FOSSATO DI VICO GUBBIO,IC,Sun,1.66,-2.0,4,50,9,8,6,43.283798,12.757258
GIOIOSA JONICA,IC,Sun,2.392156862745098,2.0,4,51,16,12,2,38.300812,16.332501
GIULIANOVA,IC,Sun,2.682758620689655,2.0,13,145,48,33,8,42.751673,13.965743
ISOLA CAPO RIZZUTO,IC,Sun,2.0,2.0,1,1,0,0,0,39.043084,17.071764
JESI,IC,Sun,0.45588235294117646,0.0,6,68,11,6,5,43.520164,13.251316
LAMEZIA TERME CENTRALE,IC,Sun,4.038961038961039,1.0,18,154,39,31,16,38.921347,16.255577
LETOJANNI,IC,Sun,-1.0,-4.0,1,5,2,1,1,37.877581,15.303128
LODI,IC,Sun,0.14173228346456693,-1.0,14,127,19,10,6,45.308966,9.497585
MELITO DI PORTO SALVO,IC,Sun,2.5294117647058822,2.0,4,51,21,13,4,37.916732,15.780816
MESSINA CENTRALE,IC,Sun,2.1219512195121952,0.0,14,82,20,15,10,38.184975,15.561278
MILAZZO,IC,Sun,3.914285714285714,0.0,6,35,11,7,4,38.21195,15.244203
ORTE,IC,Sun,3.2888888888888888,1.0,21,180,51,40,27,42.43728,12.408986
OULX CESANA CLAVIERE SESTRIERE,IC,Sun,1.0909090909090908,-2.0,2,22,2,1,1,45.038789,6.831432
PALERMO CENTRALE,IC,Sun,-7.0,-20.0,3,7,2,2,1,38.109187,13.367515
PAOLA,IC,Sun,1.639751552795031,-2.0,21,161,31,22,16,39.359442,16.033093
PARMA,IC,Sun,4.287769784172662,2.0,20,139,43,33,13,44.810203,10.32837
PAVIA,IC,Sun,2.424137931034483,1.0,32,290,71,45,18,45.188843,9.144674
PIACENZA,IC,Sun,1.2361111111111112,-2.0,22,144,31,28,14,45.052238,9.70633
PISCIOTTA PALINURO,IC,Sun,9.307692307692308,3.0,5,52,26,23,11,40.091539,15.243601
POLLINA,IC,Sun,-4.25,-18.0,3,8,2,2,2,38.018,14.175943
POTENZA CENTRALE,IC,Sun,1.7674418604651163,-1.0,4,43,10,8,3,40.629469,15.806808
PRAJA AJETA TORTORA,IC,Sun,3.55,1.0,5,60,23,20,6,39.900832,15.780628
PRATO CENTRALE,IC,Sun,-0.3968253968253968,-3.0,12,63,19,14,4,43.878737,11.109252
QUARTO D`ALTINO,IC,Sun,4.0,4.0,1,1,1,0,0,45.574576,12.365032
ROSARNO,IC,Sun,4.25,1.0,12,120,30,24,14,38.488593,15.970149
S. DONA` DI PIAVE,IC,Sun,3.9,2.0,5,50,15,11,3,45.63983,12.559791
S.BENEDETTO DEL TRONTO,IC,Sun,3.219178082191781,2.0,14,146,53,29,9,42.954386,13.882297
SALERNO,IC,Sun,2.75,-1.0,30,248,86,59,35,40.675137,14.772822
SAVONA,IC,Sun,2.690909090909091,2.0,20,110,43,28,9,44.306892,8.470259
SENIGALLIA,IC,Sun,2.4025974025974026,1.0,16,154,40,25,10,43.716277,13.221652
SIDERNO,IC,Sun,3.176470588235294,2.0,4,51,18,13,2,38.2708,16.302
TAGGIA ARMA,IC,Sun,4.185714285714286,3.0,12,70,35,19,3,43.840764,7.835604
TAORMINA,IC,Sun,3.7794117647058822,1.0,11,68,23,16,14,37.845429,15.282584
