stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ACIREALE,ICN,Sun,-5.378378378378378,-1.0,7,37,9,9,4,37.600514,15.163697
ASCEA,ICN,Sun,16.857142857142858,6.0,2,7,5,4,2,40.140955,15.172626
BRINDISI,ICN,Sun,-1.0163934426229508,-4.0,6,61,8,7,5,40.634339,17.938978
CAPO D`ORLANDO-NASO,ICN,Sun,1.2333333333333334,1.0,6,60,13,10,8,38.157941,14.744844
CASARSA,ICN,Sun,8.476190476190476,3.0,2,21,10,6,4,45.953002,12.8406
CESENA,ICN,Sun,0.0,-3.0,3,31,4,4,3,44.145449,12.24964
CORNIGLIA,ICN,Sun,5.0,5.0,1,1,1,0,0,44.119938,9.711051
FIRENZE CAMPO MARTE,ICN,Sun,-20.714285714285715,-22.0,3,7,2,2,1,43.776856,11.27702
FORLI`,ICN,Sun,0.0,-2.0,3,31,5,4,4,44.22413,12.054871
GIARRE RIPOSTO,ICN,Sun,-4.410256410256411,-1.0,7,39,11,5,3,37.730346,15.193386
LAMEZIA TERME CENTRALE,ICN,Sun,5.8,2.0,6,40,15,13,11,38.921347,16.255577
LECCE,ICN,Sun,0.06451612903225806,-2.0,3,31,4,2,2,40.34566,18.165724
LENTINI,ICN,Sun,-4.846153846153846,-3.0,7,39,3,3,3,37.300916,14.99758
LIVORNO CENTRALE,ICN,Sun,-1.1578947368421053,1.0,4,19,3,2,2,43.55406,10.336593
MONOPOLI,ICN,Sun,-0.45,1.0,4,40,4,4,2,40.952017,17.292455
NAPOLI CENTRALE,ICN,Sun,1.8305084745762712,-1.0,7,59,11,10,9,40.852933,14.272908
ORVIETO,ICN,Sun,-6.25,-8.0,4,8,2,2,2,42.723379,12.127412
PAOLA,ICN,Sun,2.0869565217391304,-3.0,4,23,4,4,2,39.359442,16.033093
PATTI-SAN PIERO PATTI,ICN,Sun,1.1016949152542372,-1.0,6,59,16,8,5,38.146905,14.975331
PAVIA,ICN,Sun,0.8,1.0,2,5,2,0,0,45.188843,9.144674
PESCARA,ICN,Sun,-6.035714285714286,-7.0,6,56,9,6,5,42.467789,14.205066
PIACENZA,ICN,Sun,3.9027777777777777,2.0,10,72,27,21,9,45.052238,9.70633
RICADI,ICN,Sun,0.8823529411764706,2.0,2,17,6,3,1,38.630676,15.839848
ROMA TERMINI,ICN,Sun,7.55,-2.0,7,40,13,13,10,41.900636,12.502026
ROMA TIBURTINA,ICN,Sun,-1.6111111111111112,-1.0,4,18,5,4,4,41.910903,12.530749
SALERNO,ICN,Sun,0.5967741935483871,-6.0,9,62,14,10,9,40.675137,14.772822
TARANTO,ICN,Sun,1.4761904761904763,0.0,2,21,6,3,2,40.483727,17.224059
TORINO P.NUOVA,ICN,Sun,-1.85,-2.0,4,40,7,4,3,45.060969,7.67747
TRIESTE CENTRALE,ICN,Sun,1.8181818181818181,-2.0,1,11,1,1,1,45.657456,13.771873
TROPEA,ICN,Sun,-0.058823529411764705,-1.0,2,17,4,2,1,38.672302,15.894568
AGROPOLI CASTELLABATE,ICN,Sun,15.142857142857142,3.0,2,7,3,3,2,40.351521,15.002053
ALESSANDRIA,ICN,Sun,4.433962264150943,0.0,6,53,15,12,6,44.909091,8.606498
ANCONA,ICN,Sun,-8.875,-8.0,6,56,8,6,5,43.607734,13.497665
AVERSA,ICN,Sun,12.083333333333334,-1.0,2,24,9,8,6,40.973323,14.218578
BARLETTA,ICN,Sun,2.542372881355932,1.0,6,59,16,12,7,41.315227,16.278867
BRESSANONE,ICN,Sun,5.0,4.0,2,7,5,2,1,46.710088,11.649677
CHIAVARI,ICN,Sun,7.128205128205129,0.0,4,39,10,7,6,44.315156,9.322464
CHIUSI C.T.,ICN,Sun,0.5,-2.0,2,6,1,1,1,43.002466,11.957893
FASANO,ICN,Sun,1.4,-1.0,4,40,5,4,4,40.851753,17.3859
FIDENZA,ICN,Sun,10.5,4.0,1,2,2,1,1,44.86773,10.06339
FOGGIA,ICN,Sun,1.2542372881355932,-1.0,6,59,17,14,9,41.466,15.555816
GENOVA BRIGNOLE,ICN,Sun,7.0,1.0,6,44,20,16,7,44.407213,8.947553
GROSSETO,ICN,Sun,3.1842105263157894,-3.0,4,38,14,11,6,42.76728,11.1065
MILANO CENTRALE,ICN,Sun,1.9166666666666667,-1.0,3,24,7,4,4,45.486347,9.204528
MILANO PORTA GARIBALDI,ICN,Sun,-5.894736842105263,-3.0,2,19,3,1,0,45.484917,9.187683
MILAZZO,ICN,Sun,1.847457627118644,0.0,6,59,16,10,5,38.21195,15.244203
MODENA,ICN,Sun,6.3428571428571425,3.0,4,35,17,9,6,44.654461,10.930373
MOLFETTA,ICN,Sun,0.875,0.0,3,32,7,5,3,41.196008,16.596793
ORTE,ICN,Sun,4.742857142857143,1.0,4,35,12,9,8,42.43728,12.408986
OSTUNI,ICN,Sun,1.775,-1.0,4,40,6,5,4,40.752356,17.580809
PALERMO CENTRALE,ICN,Sun,-27.04,-23.0,3,25,0,0,0,38.109187,13.367515
PALMI,ICN,Sun,6.647058823529412,5.0,2,17,12,7,4,38.364914,15.84438
PARMA,ICN,Sun,3.5384615384615383,0.0,6,52,17,14,7,44.810203,10.32837
PORDENONE,ICN,Sun,8.666666666666666,2.0,2,21,9,5,5,45.956281,12.654126
REGGIO EMILIA,ICN,Sun,7.470588235294118,4.0,4,34,18,15,6,44.697793,10.643093
ROSARNO,ICN,Sun,6.458333333333333,5.0,4,24,16,8,4,38.488593,15.970149
S.AGATA M.,ICN,Sun,-5.88135593220339,-9.0,6,59,12,8,5,38.073554,14.640622
S.BENEDETTO DEL TRONTO,ICN,Sun,-7.6,-10.0,1,10,0,0,0,42.954386,13.882297
SAN SEVERO,ICN,Sun,-0.35,-2.0,2,20,3,2,2,41.684512,15.392567
SCALEA S.DOMENICA TALAO,ICN,Sun,7.333333333333333,3.0,4,24,11,9,4,39.8083,15.80139
SIRACUSA,ICN,Sun,-19.555555555555557,-21.0,4,18,1,1,1,37.068906,15.280896
TAORMINA,ICN,Sun,-1.8974358974358974,-2.0,7,39,7,5,4,37.845429,15.282584
TERME EUGANEE-ABANO-MONTEGR.,ICN,Sun,7.863636363636363,0.0,2,22,5,4,4,45.32744,11.79604
TERMINI IMERESE,ICN,Sun,-7.85,-5.0,6,60,2,1,1,37.980132,13.703631
TERMOLI,ICN,Sun,-3.15,-7.0,2,20,3,3,2,42.000623,14.992805
TRANI,ICN,Sun,3.8333333333333335,1.0,3,30,7,7,4,41.272693,16.417646
TRENTO,ICN,Sun,5.166666666666667,1.0,2,18,4,3,2,46.072414,11.118941
VENEZIA MESTRE,ICN,Sun,4.095238095238095,1.0,2,21,4,3,3,45.482123,12.232069
VENEZIA SANTA LUCIA,ICN,Sun,7.857142857142857,0.0,2,21,6,6,4,45.441569,12.320882
VOGHERA,ICN,Sun,2.375,4.0,4,16,10,6,0,44.9978,9.007942
AREZZO,ICN,Sun,-14.666666666666666,-30.0,2,6,1,1,1,43.461725,11.874189
BARCELLONA,ICN,Sun,1.88135593220339,0.0,6,59,12,10,6,38.14918,15.212499
