stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ALESSANDRIA,,Thu,1.8461538461538463,-1.0,2,26,5,2,1,44.909091,8.606498
BARI CENTRALE,,Thu,4.911042944785276,0.0,28,326,106,87,61,41.11774,16.869601
BENEVENTO,,Thu,8.058823529411764,3.0,13,153,76,67,35,41.141901,14.769998
BOLOGNA C.LE/AV,,Thu,2.5310435931307795,1.0,124,1514,471,313,138,44.50626,11.342267
CAMPIGLIA MARITTIMA,,Thu,2.354330708661417,1.0,11,127,32,19,10,43.017118,10.586558
CERVIGNANO A.G.,,Thu,1.3137254901960784,1.0,4,51,13,8,1,45.823948,13.342866
CIVITAVECCHIA,,Thu,2.2598425196850394,-1.0,11,127,39,29,12,42.088287,11.79815
CONEGLIANO,,Thu,1.3958333333333333,1.0,4,48,8,6,0,45.884706,12.298909
FABRIANO,,Thu,1.7083333333333333,1.0,2,24,8,2,1,43.345429,12.905336
FERRARA,,Thu,4.598684210526316,2.0,25,304,115,77,34,44.843047,11.603594
FIRENZE CAMPO MARTE,,Thu,5.891891891891892,4.0,6,74,44,30,11,43.776856,11.27702
FIRENZE S.M.N.,,Thu,4.187672493100276,3.0,88,1087,474,305,132,43.776893,11.247373
FOLIGNO,,Thu,1.2083333333333333,1.0,2,24,7,1,0,42.954261,12.711096
FORLI`,,Thu,8.04225352112676,6.0,13,142,87,73,48,44.22413,12.054871
GENOVA P.PRINCIPE,,Thu,5.6797385620915035,3.0,13,153,68,48,25,44.417784,8.9207
GIOIA DEL COLLE,,Thu,4.6923076923076925,1.0,2,26,8,5,3,40.796983,16.916569
GIULIANOVA,,Thu,7.68,4.0,2,25,13,12,6,42.751673,13.965743
GROSSETO,,Thu,2.811023622047244,1.0,11,127,33,24,11,42.76728,11.1065
LIVORNO CENTRALE,,Thu,4.214285714285714,2.0,11,126,51,35,11,43.55406,10.336593
MARATEA,,Thu,8.68,6.0,2,25,13,13,10,39.995028,15.70975
