stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ACIREALE,DIR,Thu,27.0,27.0,1,1,1,1,1,37.600514,15.163697
CATANIA CENTRALE,DIR,Thu,28.0,28.0,1,1,1,1,1,37.506211,15.099417
FIUMEFREDDO DI SICILIA,DIR,Thu,22.0,22.0,1,1,1,1,1,37.795247,15.205615
PRIOLO MELILLI,DIR,Thu,58.0,58.0,1,1,1,1,1,37.157951,15.197038
SCALETTA ZANCLEA,DIR,Thu,15.0,15.0,1,1,1,1,1,38.04635,15.465376
ALI` TERME,DIR,Thu,14.0,14.0,1,1,1,1,1,38.013952,15.435184
LENTINI,DIR,Thu,27.0,27.0,1,1,1,1,1,37.300916,14.99758
SANTA TERESA DI RIVA,DIR,Thu,14.0,14.0,1,1,1,1,1,37.946295,15.367682
AUGUSTA,DIR,Thu,43.0,43.0,1,1,1,1,1,37.24334,15.218628
GIARRE RIPOSTO,DIR,Thu,26.0,26.0,1,1,1,1,1,37.730346,15.193386
TAORMINA,DIR,Thu,21.0,21.0,1,1,1,1,1,37.845429,15.282584
MESSINA CENTRALE,DIR,Thu,13.0,13.0,1,1,1,1,1,38.184975,15.561278
