stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ACIREALE,IC,Thu,12.857142857142858,4.0,12,63,34,31,24,37.600514,15.163697
AGROPOLI CASTELLABATE,IC,Thu,9.153846153846153,2.0,9,91,38,33,24,40.351521,15.002053
ARIANO IRPINO,IC,Thu,-0.16,-2.0,3,25,6,5,1,41.181883,15.117508
ASCEA,IC,Thu,17.11904761904762,9.0,5,42,27,26,18,40.140955,15.172626
ASSISI,IC,Thu,5.659574468085107,4.0,4,47,26,18,9,43.058921,12.585304
BARCELLONA,IC,Thu,8.948717948717949,5.0,8,39,22,17,10,38.14918,15.212499
BARI CENTRALE,IC,Thu,3.747967479674797,1.0,16,123,38,25,13,41.11774,16.869601
BARLETTA,IC,Thu,6.898648648648648,4.0,18,148,80,51,22,41.315227,16.278867
BATTIPAGLIA,IC,Thu,7.828947368421052,2.0,14,152,61,49,31,40.605789,14.98324
BISCEGLIE,IC,Thu,7.271428571428571,5.0,14,140,86,54,24,41.235445,16.499484
BOVALINO,IC,Thu,9.076923076923077,5.0,4,52,32,25,16,38.149087,16.180584
BRINDISI,IC,Thu,4.39,2.0,13,100,34,23,11,40.634339,17.938978
CAMPIGLIA MARITTIMA,IC,Thu,6.373333333333333,3.0,6,75,35,25,10,43.017118,10.586558
CARONIA,IC,Thu,7.666666666666667,-2.0,2,3,1,1,1,38.034475,14.443761
CASERTA,IC,Thu,11.52,12.0,4,25,16,15,14,41.068655,14.328457
CASSINO,IC,Thu,10.173913043478262,9.0,2,23,12,12,11,41.484306,13.832125
CECINA,IC,Thu,3.9571428571428573,1.0,6,70,21,18,6,43.31028,10.514225
CHIAVARI,IC,Thu,3.89453125,2.0,25,256,88,66,23,44.315156,9.322464
CORNIGLIA,IC,Thu,-4.0,-4.0,1,1,0,0,0,44.119938,9.711051
CROTONE,IC,Thu,10.48076923076923,6.0,4,52,34,28,20,39.0845,17.108418
CUTRO,IC,Thu,13.307692307692308,10.0,1,13,13,11,6,39.02593,16.963809
EBOLI,IC,Thu,7.617021276595745,5.0,4,47,30,17,7,40.611057,15.052382
FAENZA,IC,Thu,5.820143884892087,3.0,15,139,61,48,24,44.293594,11.883268
FANO,IC,Thu,4.186567164179104,1.0,11,134,41,32,19,43.842977,13.02478
FASANO,IC,Thu,5.2023809523809526,2.0,10,84,26,15,12,40.851753,17.3859
