stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
CANCELLO,MET,Tue,5.396166134185304,4.0,26,313,186,93,21,40.993063,14.418877
CAVA DEI TIRRENI,MET,Tue,3.2267605633802816,2.0,58,710,195,112,41,40.703662,14.708461
DUOMO VIA VERNIERI,MET,Tue,7.0,4.0,2,2,2,1,0,,
NAPOLI PIAZZA LEOPARDI,MET,Tue,0.8070880526123493,0.0,224,2737,319,185,66,40.82397,14.199117
NAPOLI S.GIOV.BARRA,MET,Tue,0.5138539042821159,1.0,132,1588,163,86,30,40.831269,14.307811
NOCERA INFERIORE,MET,Tue,3.774058577405858,3.0,58,717,245,100,32,40.745318,14.635346
PIETRARSA,MET,Tue,13.5,10.0,10,10,8,6,3,40.822433,14.32058
POMPEI,MET,Tue,2.649441340782123,2.0,58,716,184,91,28,40.745918,14.501109
TORRE ANNUNZIATA CENTRALE,MET,Tue,2.6595744680851063,2.0,65,752,186,95,29,40.747131,14.463744
TORRE ANNUNZIATA CITTA',MET,Tue,0.0,0.0,1,1,0,0,0,40.754069,14.448628
ACERRA,MET,Tue,4.419871794871795,3.0,26,312,128,71,22,40.939066,14.372243
ANGRI,MET,Tue,3.923076923076923,3.0,58,715,292,134,32,40.746404,14.575366
CASALNUOVO,MET,Tue,4.383386581469648,3.0,26,313,131,75,23,40.915559,14.35296
CAVALLEGGERI AOSTA,MET,Tue,-0.14913366336633663,-1.0,129,1616,90,42,16,40.819292,14.185679
NAPOLI CAMPI FLEGREI,MET,Tue,-0.7108655616942909,-1.0,175,2172,159,99,41,40.822462,14.194649
NAPOLI GIANTURCO,MET,Tue,-0.3556776556776557,-2.0,224,2730,327,191,65,40.853959,14.288213
NAPOLI MONTESANTO,MET,Tue,9.0,7.0,5,5,4,4,2,40.847807,14.244022
PIAZZA CAVOUR,MET,Tue,-0.19122257053291536,-2.0,118,638,81,40,13,40.855248,14.255175
PORTICI- ERCOLANO,MET,Tue,1.622908622908623,1.0,67,777,124,59,20,40.809907,14.335809
BAGNOLI AGNANO TERME,MET,Tue,-0.47560975609756095,-1.0,129,738,34,14,4,40.819444,14.166694
CASTELLAMMARE DI STABIA,MET,Tue,0.3,0.0,5,10,1,0,0,40.701398,14.483737
NOCERA SUPERIORE,MET,Tue,3.707865168539326,2.0,58,712,227,113,33,40.742597,14.672398
PIAZZA AMEDEO,MET,Tue,-0.8171428571428572,-2.0,221,1050,80,49,19,40.838506,14.232974
VIETRI SUL MARE,MET,Tue,7.5,4.0,2,2,2,1,1,40.674996,14.726829
CASERTA,MET,Tue,4.026845637583893,3.0,12,149,62,32,10,41.068655,14.328457
MADDALONI INFERIORE,MET,Tue,11.0,9.0,1,2,2,2,1,41.035954,14.380504
NAPOLI MERGELLINA,MET,Tue,6.5,0.0,2,2,1,1,1,40.831531,14.218662
NAPOLI PIAZZA GARIBALDI,MET,Tue,6.526315789473684,6.0,16,19,13,12,4,40.852326,14.275159
PAGANI,MET,Tue,4.158041958041958,3.0,58,715,292,133,32,40.74654,14.616996
POZZUOLI SOLFATARA,MET,Tue,-0.07598039215686274,-1.0,65,816,62,32,9,40.827586,14.126163
ROVIGLIANO,MET,Tue,4.5,3.0,1,2,1,1,0,,
S.MARIA LA BRUNA,MET,Tue,1.9806949806949807,1.0,67,777,146,66,23,40.755435,14.407647
SALERNO,MET,Tue,-0.20612813370473537,-2.0,29,359,49,31,20,40.675137,14.772822
SCAFATI,MET,Tue,2.2527932960893855,1.0,58,716,167,75,28,40.746028,14.523253
TORRE DEL GRECO,MET,Tue,1.759020618556701,1.0,67,776,147,62,20,40.787631,14.363159
TRACCIA,MET,Tue,4.078947368421052,3.0,3,38,17,6,1,,
