stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
GENOVA P.PRINCIPE,EC,Wed,15.333333333333334,5.0,1,3,2,1,1,44.417784,8.9207
STRESA,EC,Wed,6.367924528301887,6.0,9,106,71,57,16,45.884486,8.531454
TORTONA,EC,Wed,11.666666666666666,1.0,1,3,1,1,1,44.900126,8.861777
TRENTO,EC,Wed,7.123076923076923,3.0,10,130,65,50,26,46.072414,11.118941
VENEZIA MESTRE,EC,Wed,3.8222222222222224,1.0,6,45,11,8,4,45.482123,12.232069
VIPITENO,EC,Wed,-2.217391304347826,-3.0,2,23,1,1,1,46.895732,11.440206
COMO S. GIOVANNI,EC,Wed,3.3978494623655915,3.0,18,93,39,24,7,45.808946,9.072331
MILANO CENTRALE,EC,Wed,4.031746031746032,2.0,21,189,70,51,30,45.486347,9.204528
PADOVA,EC,Wed,4.979166666666667,2.0,8,48,17,12,8,45.417846,11.880794
PESCHIERA DEL GARDA,EC,Wed,8.15,3.0,4,20,10,7,3,45.438502,10.702509
REGGIO EMILIA,EC,Wed,4.333333333333333,0.0,2,6,3,2,2,44.697793,10.643093
RHO FIERA MILANO,EC,Wed,2.5,1.0,3,6,3,2,0,,
TORINO PORTA SUSA,EC,Wed,6.36,3.0,4,25,11,7,5,45.075906,7.667673
VENEZIA SANTA LUCIA,EC,Wed,4.413793103448276,1.0,3,29,8,6,4,45.441569,12.320882
BARDONECCHIA,EC,Wed,9.714285714285714,3.0,2,14,6,5,4,45.076447,6.709959
BOLOGNA C.LE,EC,Wed,11.777777777777779,5.0,6,45,26,22,15,44.50626,11.342267
DOMEGLIARA,EC,Wed,63.0,63.0,1,1,1,1,1,45.522348,10.820408
FIRENZE CAMPO MARTE,EC,Wed,88.0,13.0,2,2,2,2,2,43.776856,11.27702
PAVIA,EC,Wed,17.0,2.0,1,3,1,1,1,45.188843,9.144674
PIACENZA,EC,Wed,1.1666666666666667,-1.0,2,6,1,1,0,45.052238,9.70633
ROVERETO,EC,Wed,7.7615384615384615,4.0,10,130,72,54,29,45.890985,11.033518
VERONA PORTA NUOVA,EC,Wed,8.268115942028986,5.0,14,138,86,60,24,45.428603,10.982377
BRENNERO,EC,Wed,2.4935064935064934,0.0,7,77,27,19,10,47.004117,11.505711
BRESCIA,EC,Wed,7.7,4.0,4,20,11,5,2,45.532315,10.212828
BRESSANONE,EC,Wed,6.098039215686274,3.0,12,153,70,52,30,46.710088,11.649677
CHIASSO,EC,Wed,-1.6428571428571428,-3.0,8,14,1,1,1,45.830736,9.03421
DOMODOSSOLA,EC,Wed,2.2948717948717947,0.0,15,156,54,41,18,46.115429,8.296684
GALLARATE,EC,Wed,7.698412698412699,6.0,6,63,46,33,12,45.659828,8.798243
MILANO LAMBRATE,EC,Wed,6.111111111111111,2.0,3,9,1,1,1,45.484933,9.237333
MILANO ROGOREDO,EC,Wed,6.555555555555555,2.0,3,9,2,2,1,45.433866,9.2391
MODANE,EC,Wed,8.166666666666666,2.0,4,12,5,5,5,,
MODENA,EC,Wed,2.3333333333333335,-1.0,2,6,2,2,1,44.654461,10.930373
PARMA,EC,Wed,4.333333333333333,1.0,2,6,2,2,2,44.810203,10.32837
TARVISIO BOSCOVERDE,EC,Wed,5.0,5.0,1,1,1,0,0,46.505956,13.608012
VICENZA,EC,Wed,5.108695652173913,2.0,6,46,16,12,7,45.541102,11.540762
