shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shp_2_1,43.792671,7.610034,1,0.0
shp_2_1,43.79129,7.613051,2,287.01
shp_2_1,43.790375,7.614882,3,465.931
shp_2_1,43.790211,7.61529,4,503.469
shp_2_1,43.790089,7.615652,5,535.692
shp_2_1,43.789963,7.616057,6,571.019
shp_2_1,43.789883,7.616387,7,598.983
shp_2_1,43.789822,7.616718,8,626.433
shp_2_1,43.78965,7.617725,9,709.649
shp_2_1,43.789589,7.618246,10,752.033
shp_2_1,43.789562,7.618855,11,801.069
shp_2_1,43.789558,7.619657,12,865.511
shp_2_1,43.789581,7.62301,13,1134.955
shp_2_1,43.789593,7.623396,14,1166.016
shp_2_1,43.7897,7.625324,15,1321.435
shp_2_1,43.7897,7.625676,16,1349.674
shp_2_1,43.789692,7.625925,17,1369.745
shp_2_1,43.789631,7.626514,18,1417.561
shp_2_1,43.789391,7.628172,19,1553.415
shp_2_1,43.789303,7.628871,20,1610.391
shp_2_1,43.789265,7.62946,21,1657.949
shp_2_1,43.789246,7.630512,22,1742.468
shp_2_1,43.78923,7.630901,23,1773.767
shp_2_1,43.789207,7.631236,24,1800.858
shp_2_1,43.789177,7.631505,25,1822.692
shp_2_1,43.789139,7.631754,26,1843.15
shp_2_1,43.78907,7.632089,27,1871.189
shp_2_1,43.788994,7.63239,28,1896.755
shp_2_1,43.788887,7.632735,29,1926.895
shp_2_1,43.788811,7.63295,30,1946.266
shp_2_1,43.788677,7.633258,31,1975.068
shp_2_1,43.788521,7.6335750000000004,32,2006.03
shp_2_1,43.788116,7.634272,33,2077.81
shp_2_1,43.787884,7.634645,34,2117.393
shp_2_1,43.787674,7.634942,35,2150.665
shp_2_1,43.787361,7.635325,36,2197.404
shp_2_1,43.787205,7.635482,37,2218.802
shp_2_1,43.785069,7.637464,38,2504.815
shp_2_1,43.78476,7.637794,39,2548.483
shp_2_1,43.784626,7.637949,40,2567.752
shp_2_1,43.784485,7.638143,41,2590.008
shp_2_1,43.784344,7.638348,42,2612.772
shp_2_1,43.784176,7.638619,43,2641.365
shp_2_1,43.784039,7.638882,44,2667.58
shp_2_1,43.783894,7.639186,45,2696.809
shp_2_1,43.783787,7.639428,46,2719.436
shp_2_1,43.783661,7.639789,47,2751.717
shp_2_1,43.78352,7.64022,48,2789.839
shp_2_1,43.783295,7.641014,49,2858.352
shp_2_1,43.78323,7.641325,50,2884.354
shp_2_1,43.783188,7.64162,51,2908.575
shp_2_1,43.783146,7.641993,52,2938.91
shp_2_1,43.783005,7.64344,53,3056.213
shp_2_1,43.782906,7.644154,54,3114.594
shp_2_1,43.782776,7.644923,55,3178.125
shp_2_1,43.7827,7.645308,56,3210.24
shp_2_1,43.781986,7.648338,57,3466.392
shp_2_1,43.781277,7.651274,58,3715.169
shp_2_1,43.780972,7.65244,59,3814.858
shp_2_1,43.780739,7.65338,60,3894.802
shp_2_1,43.780495,7.654415,61,3982.234
shp_2_1,43.780235,7.655467,62,4071.644
shp_2_1,43.77998,7.656571,63,4164.797
shp_2_1,43.779366,7.659138,64,4382.198
shp_2_1,43.778694,7.662006,65,4624.536
shp_2_1,43.778313,7.663581,66,4757.979
shp_2_1,43.778313,7.663581,67,4757.979
shp_2_1,43.777977,7.66501,68,4878.825
shp_2_1,43.77779,7.665956,69,4957.639
shp_2_1,43.777699,7.666533,70,5005.176
shp_2_1,43.7775,7.668572,71,5170.539
shp_2_1,43.777454,7.669203,72,5221.441
shp_2_1,43.777439,7.669718,73,5262.871
shp_2_1,43.777443,7.67001,74,5286.352
shp_2_1,43.777466,7.670342,75,5313.209
shp_2_1,43.777504,7.670667,76,5339.642
shp_2_1,43.777584,7.671147,77,5379.329
shp_2_1,43.777679,7.671574,78,5415.1
shp_2_1,43.777744,7.671839,79,5437.665
shp_2_1,43.777863,7.672233,80,5472.062
shp_2_1,43.778099,7.67292,81,5533.199
shp_2_1,43.778263,7.673338,82,5571.295
shp_2_1,43.778492,7.673768,83,5614.275
shp_2_1,43.778702,7.674111,84,5650.525
shp_2_1,43.778893,7.674307,85,5676.87
shp_2_1,43.779438,7.674811,86,5749.972
shp_2_1,43.779537,7.674894,87,5762.613
shp_2_1,43.779892,7.675157,88,5807.559
shp_2_1,43.780354,7.675471,89,5864.92
shp_2_1,43.780556,7.675616,90,5890.184
shp_2_1,43.780716,7.67575,91,5910.929
shp_2_1,43.780949,7.675981,92,5942.889
shp_2_1,43.78178,7.676936,93,6063.105
shp_2_1,43.782852,7.678217,94,6220.637
shp_2_1,43.783096,7.67852,95,6257.28
shp_2_1,43.783516,7.679102,96,6323.281
shp_2_1,43.783813,7.679565,97,6373.205
shp_2_1,43.784035,7.679934,98,6411.628
shp_2_1,43.78426,7.68035,99,6453.37
shp_2_1,43.784431,7.680701,100,6487.66
shp_2_1,43.784565,7.681005,101,6516.091
shp_2_1,43.784779,7.681509,102,6563.008
shp_2_1,43.78511,7.682377,103,6641.976
shp_2_1,43.785229,7.682742,104,6674.111
shp_2_1,43.785866,7.684531,105,6834.519
shp_2_1,43.786232,7.685435,106,6917.681
shp_2_1,43.786453,7.685936,107,6964.949
shp_2_1,43.786667,7.686358,108,7006.573
shp_2_1,43.787636,7.687931,109,7172.641
shp_2_1,43.788177,7.688749,110,7261.933
shp_2_1,43.788879,7.689858,111,7380.327
shp_2_1,43.789063,7.690113,112,7409.097
shp_2_1,43.789268,7.690377,113,7440.555
shp_2_1,43.789501,7.690653,114,7474.48
shp_2_1,43.789825,7.691002,115,7520.295
shp_2_1,43.79018,7.691344,116,7568.248
shp_2_1,43.790562,7.691683,117,7618.988
shp_2_1,43.790981,7.691971,118,7670.822
shp_2_1,43.792881,7.693036,119,7899.246
shp_2_1,43.793354,7.693334,120,7956.944
shp_2_1,43.795601,7.694862,121,8235.487
shp_2_1,43.795921,7.695125,122,8277.095
shp_2_1,43.796253,7.695421,123,8320.927
shp_2_1,43.796558,7.695713,124,8362.192
shp_2_1,43.796833,7.696019,125,8401.507
shp_2_1,43.797039,7.696293,126,8433.21
shp_2_1,43.797283,7.696685,127,8474.77
shp_2_1,43.797565,7.697258,128,8530.604
shp_2_1,43.798145,7.698535,129,8651.86
shp_2_1,43.798546,7.699372,130,8732.437
shp_2_1,43.79879,7.699855,131,8779.786
shp_2_1,43.799229,7.700633,132,8859.284
shp_2_1,43.799606,7.701231,133,8923.136
shp_2_1,43.802181,7.705021,134,9341.136
shp_2_1,43.802849,7.706074,135,9453.856
shp_2_1,43.803387,7.707041,136,9552.081
shp_2_1,43.803947,7.7081,137,9657.557
shp_2_1,43.80444,7.709118,138,9755.868
shp_2_1,43.804768,7.709836,139,9824.144
shp_2_1,43.805073,7.710567,140,9891.948
shp_2_1,43.805367,7.711357,141,9963.407
shp_2_1,43.805779,7.71257,142,10071.181
shp_2_1,43.806187,7.713828,143,10181.854
shp_2_1,43.806602,7.71524,144,10304.416
shp_2_1,43.82122,7.766707,145,14747.389
shp_2_1,43.82122,7.766707,146,14747.389
shp_2_1,43.822899,7.772618,147,15257.531
shp_2_1,43.829346,7.795481,148,17229.063
shp_2_1,43.840595,7.835651,149,20689.205
shp_2_1,43.840595,7.835651,150,20689.205
shp_2_1,43.880508,8.019182,151,36075.688
shp_2_1,43.880508,8.019182,152,36075.688
shp_2_1,44.007992,8.171279,153,54784.191
shp_2_1,44.007992,8.171279,154,54784.191
shp_2_1,44.008968,8.172413,155,54925.84
shp_2_1,44.009544,8.173057,156,55008.246
shp_2_1,44.009674,8.173235,157,55028.594
shp_2_1,44.010044,8.173637,158,55080.84
shp_2_1,44.010422,8.174187,159,55141.695
shp_2_1,44.010921,8.175257,160,55243.668
shp_2_1,44.011223,8.176006,161,55312.523
shp_2_1,44.011654,8.176882,162,55397.473
shp_2_1,44.01186,8.1772,163,55431.785
shp_2_1,44.013073,8.178663,164,55610.605
shp_2_1,44.013809,8.179872,165,55737.363
shp_2_1,44.013958,8.180185,166,55767.375
shp_2_1,44.014133,8.180655,167,55809.773
shp_2_1,44.014591,8.181944,168,55924.934
shp_2_1,44.015091,8.18339,169,56053.238
shp_2_1,44.015476,8.184615,170,56160.328
shp_2_1,44.015591,8.185072,171,56198.969
shp_2_1,44.015934,8.186529,172,56321.801
shp_2_1,44.01622,8.187613,173,56414.281
shp_2_1,44.01664,8.188659,174,56510.055
shp_2_1,44.017132,8.189697,175,56609.746
shp_2_1,44.017399,8.190193,176,56659.375
shp_2_1,44.017712,8.190537,177,56703.531
shp_2_1,44.018295,8.191092,178,56782.289
shp_2_1,44.018791,8.191335,179,56840.926
shp_2_1,44.019405,8.19152,180,56910.844
shp_2_1,44.020485,8.191731,181,57032.027
shp_2_1,44.020954,8.191838,182,57085.105
shp_2_1,44.021332,8.191992,183,57129.047
shp_2_1,44.021938,8.192346,184,57202.156
shp_2_1,44.022285,8.19265,185,57247.711
shp_2_1,44.02272,8.193113,186,57308.777
shp_2_1,44.023144,8.193614,187,57370.523
shp_2_1,44.023716,8.194263,188,57452.82
shp_2_1,44.024178,8.194939,189,57527.438
shp_2_1,44.024509,8.195539,190,57588.203
shp_2_1,44.025181,8.196891,191,57719.609
shp_2_1,44.025803,8.197828,192,57821.711
